id,url,title,issuer,pub_date,body,attachment_count,attachment_id,attachment_name,attachment_download_times,attachment_url,attachment_file_code,attachment_owner
001036014493,https://jwch.fzu.edu.cn/info/1036/14493.htm,关于2025-2026学年第一学期《高等数学A（上）》、《高等数学B（上）》、《高等数学C（上）》和《高等数学D》课程期末考试安排的通知,【教学运行】,2026-01-13,"各有关学院：
定于1月30日上、下午进行《高等数学A（上）》、《高等数学B（上）》、《高等数学C（上）》和《高等数学D》课程期末考试，请有关协助监考学院按考表（见附件）安排监考老师并录入系统，及时通知监考老师和学生上系统查看考试信息，以免延误考试。
为保证考试的顺利进行，如其他教学安排时间或地点与此次考试冲突，请予以调整。

数统学院
教务处
2026年1月13日",2,0017449848580016761506,2501高等数学A（上）、B（上）期末考-1.30上午.xlsx,42,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16761506,16761506,1744984858
001036014493,https://jwch.fzu.edu.cn/info/1036/14493.htm,关于2025-2026学年第一学期《高等数学A（上）》、《高等数学B（上）》、《高等数学C（上）》和《高等数学D》课程期末考试安排的通知,【教学运行】,2026-01-13,"各有关学院：
定于1月30日上、下午进行《高等数学A（上）》、《高等数学B（上）》、《高等数学C（上）》和《高等数学D》课程期末考试，请有关协助监考学院按考表（见附件）安排监考老师并录入系统，及时通知监考老师和学生上系统查看考试信息，以免延误考试。
为保证考试的顺利进行，如其他教学安排时间或地点与此次考试冲突，请予以调整。

数统学院
教务处
2026年1月13日",2,0017449848580016761466,2501高等数学C（上）、D期末考-1.30下午.xlsx,41,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16761466,16761466,1744984858
001036014492,https://jwch.fzu.edu.cn/info/1036/14492.htm,关于2025-2026学年第一学期《大学物理A（下）》和《大学物理B（下）》课程期末考试安排的通知,【教学运行】,2026-01-13,"各有关学院：
定于1月29日上午进行《大学物理A（下）》和《大学物理B（下）》课程期末考试，请有关协助监考学院按考表（见附件）安排监考老师并录入系统，及时通知监考老师和学生上系统查看考试信息，以免延误考试。
为保证考试的顺利进行，如其他教学安排时间或地点与此次考试冲突，请予以调整。

物信学院
教务处
2026年1月13日",1,0017449848580016761453,2501大学物理A（下）、B（下）期末考-1.29上午.xlsx,39,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16761453,16761453,1744984858
001036014491,https://jwch.fzu.edu.cn/info/1036/14491.htm,关于2025-2026学年第一学期《工程制图C（上）》、《工程制图D》和《工程制图F》课程期末考试安排的通知,【教学运行】,2026-01-13,"各有关学院：
定于1月27日下午进行《工程制图C（上）》、《工程制图D》和《工程制图F》课程期末考试，请有关协助监考学院按考表（见附件）安排监考老师并录入系统，及时通知监考老师和学生上系统查看考试信息，以免延误考试。
为保证考试的顺利进行，如其他教学安排时间或地点与此次考试冲突，请予以调整。

机械学院
教务处
2026年1月13日",1,0017449848580016761392,2501制图C（上）、D、F期末考-1.27下午.xlsx,35,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16761392,16761392,1744984858
001036014490,https://jwch.fzu.edu.cn/info/1036/14490.htm,关于2025-2026学年第一学期《大学英语（二）》课程期末考试安排的通知,【教学运行】,2026-01-13,"各有关学院：
定于1月25日上、下午进行《大学英语（二）》课程期末考试，请有关协助监考学院按考表（见附件）安排监考老师并录入系统，及时通知监考老师和学生上系统查看考试信息，以免延误考试。
为保证考试的顺利进行，如其他教学安排时间或地点与此次考试冲突，请予以调整。

外语学院
教务处
2026年1月13日",1,0017449848580016761388,2501英语（二）期末考-1.25上、下午.xlsx,77,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16761388,16761388,1744984858
001036014489,https://jwch.fzu.edu.cn/info/1036/14489.htm,关于2025-2026学年第一学期《大学英语（一）》和《大学英语（三）》课程期末考试安排的通知,【教学运行】,2026-01-13,"各有关学院：
定于1月24日上午进行《大学英语（一）》和《大学英语（三）》课程期末考试，请有关协助监考学院按考表（见附件）安排监考老师并录入系统，及时通知监考老师和学生上系统查看考试信息，以免延误考试。
为保证考试的顺利进行，如其他教学安排时间或地点与此次考试冲突，请予以调整。

外语学院
教务处
2026年1月13日",1,0017449848580016761386,2501英语（一）、（三）期末考-1.24上午.xlsx,45,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16761386,16761386,1744984858
001036014488,https://jwch.fzu.edu.cn/info/1036/14488.htm,关于2025-2026学年第一学期《思想道德与法治》课程期末考试安排的通知,【教学运行】,2026-01-13,"各有关学院：
定于20周进行《思想道德与法治》课程期末考试，请有关协助监考学院按考表（见附件）安排监考老师并录入系统，及时通知监考老师和学生上系统查看考试信息，以免延误考试。
为保证考试的顺利进行，如其他教学安排时间或地点与此次考试冲突，请予以调整。

马克思主义学院
教务处
2026年1月13日",1,0017449848580016761385,2501思法随堂考.xlsx,78,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16761385,16761385,1744984858
001040014485,https://jwch.fzu.edu.cn/info/1040/14485.htm,关于举办福州大学第七十八场“教学有道”暨雕塑教学专题研讨会的通知,【质量办】,2026-01-12,"各学院，有关单位：
为适应艺术教育发展新形势，深化雕塑学科教学改革，推动学科交叉融合与数字化教学，激发师生创新潜能。经研究，学校决定举办第七十八场“教学有道”专题研讨活动，具体安排通知如下：
一、 研讨主题
“凿开思维盲区—引发+互动”雕塑教学
二、研讨时间
2026年1月20日（星期二）14:30-16:30
三、研讨嘉宾
厦门大学艺术学院 林春教授
福州大学厦门工艺美术学院副院长 张健教授
福州大学厦门工艺美术学院雕塑系主任 万吉欣教授
福州大学厦门工艺美术学院雕塑系副主任 刘大志副教授
四、研讨地点
集美校区雕塑系307
五、承办单位
厦门工艺美术学院
六、参会人员
1. 厦门工艺美术学院教师；
2. 其他感兴趣的教师和教学管理人员。

教务处
2026年1月12日",0,,,,,,
001036014484,https://jwch.fzu.edu.cn/info/1036/14484.htm,关于2026届预计毕业生校对电子注册学历照片的通知,【教学运行】,2026-01-09,"各学院：
我校2026届预计毕业生电子注册学历照片现已全部上网（包括旗山、集美、晋江多个校区），并提供在线校对，凡在今年参加图像采集的普通全日制本科学生，均需登录网站校对学历照片。未经校对的照片不会被学信网采用，将导致学生毕业后学历注册信息无法上网对外提供查询。请各学院务必通知学生及时校对。现将有关事项通知如下：
一、时间安排
2026年1月15日前，各学院组织2026届毕业班学生登录学信网，校对本人学历照片是否正确。
二、操作流程
1. 登录“中国高等教育学生信息网（学信网）”（网址：https://www.chsi.com.cn/）。
2. 点击菜单栏中的【图像校对】，进入学信档案界面。
3. 点击【校对本人学历照片】，进入登录界面。
4.登录系统即可查看本人学历照片，请认真校对照片是否正确。照片无误者直接点击“学历照片校对”右侧的【正确】按钮，然后正常退出系统即可完成校对；照片有误者点击【有误】按钮后选择相应的错误原因，并及时向学院教学办反馈。
5. 照片有误者应保持对学信网的关注，待教务处审核调整后，必须继续校对直至最终正确。
三、错误原因
1. 照片不是学生本人，此类错误基本上都是由几位学生的照片互相之间张冠李戴所致。
2. 图像不合格，包括照片侧卧/倒立、头像未居中、闭眼、含有多余内容等。
注意：除以上两类错误外，对于学生要求更换照片的申请原则上不予受理。
四、照片补拍
因故未能参加今年图像采集的毕业班学生，应按学校要求统一进行补拍，且同样必须上网校对学历照片。对于学生通过其他方式自行提交的照片，学校一律不予采用。补拍时间目前暂定于2026年5月14日，具体安排另行通知。

教务处注册中心
2026年1月9日",0,,,,,,
001037014483,https://jwch.fzu.edu.cn/info/1037/14483.htm,福州大学关于征集“人工智能专题”跨校共享线上课程的通知,【教研教改】,2026-01-08,"各学院、相关部门：
根据福建省高校在线教育联盟工作安排（附件1），现向全校征集一批已完成建设且可共享使用的“人工智能专题”线上课程，现将有关事项通知如下：
一、内容和形式要求
已完成课程线上资源建设、课程内容完整、能提供必需的线上教学及学习支持服务、适合跨校共享的“人工智能专题”课程。
（一）人工智能通识课程，着重培养学生人工智能基础认知、应用能力和伦理意识，开展分层分类的针对性特色教学，构建“通识基础+算法原理+前沿拓展+实践实训+伦理教育”五位一体的模块化课程体系，提升学生人工智能素养和应用能力。
（二）“AI+专业类”课程，以人工智能深度赋能学科专业建设，人工智能知识融入主修专业知识体系，注重联合相关专业、企业共建人工智能领域课程知识图谱、能力图谱，设置一定的“人工智能+”专业实践学时，构建“基础认知+专业融合+实践创新”三级“AI+”优质课程体系，强化学生运用人工智能技术解决真实场景问题能力。
（三）课程要求，申报课程须为已完成建设的线上课程，课程资源（含授课视频、拓展视频、课件、习题库、案例库、资源库、知识库等）完整、系统，能够支持完整的线上教学过程。课程视频资源（教师授课视频）需与学分相匹配，每学分对应的授课视频时长原则上不少于180分钟，开课学校及课程团队须承诺为选课学校提供必要的线上教学支持服务，包括但不限于在线答疑、作业批改、过程性考核、期末考试组织等，确保跨校选课学生的学习质量。
二、材料报送
（一）已上线课程：指已在福课联盟课程库中上线的课程，仅需填写《福建省高校在线教育联盟2026年共享跨校线上课程申报汇总表》，截止时间2026年1月14日17:00时。（汇总表：https://docs.qq.com/sheet/DZVVYWnpGVVNCZ2dC?tab=000001）
（二）未上线新开课程：在填报以上汇总表的基础上，同时需填写《福建省高校在线教育联盟共享课程开课计划书》（附件2）。将计划书（附件2）的WORD版和有签字盖章的PDF版打包，以“姓名+课程名”命名，发送至3424125910@qq.com，截止时间2026年1月14日17:00时。不需提交纸质版。
联系人：张老师，22866898。

附件：
1.关于征集“人工智能专题”跨校共享线上课程的通知（福课联盟[2026]1号）
2.福建省高校在线教育联盟共享课程开课计划书

福州大学教务处
2026年1月8日",2,0017449848580016760851,附件2：福建省高校在线教育联盟共享课程开课计划书.doc,47,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16760851,16760851,1744984858
